s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Central Darfur,2625,SD06,12.402911,23.364413,Mukjar,SD06130,11.808494,23.456506,2625
South Darfur,5325,SD03,11.00282,24.420469,Kubum,SD03157,11.776744,23.939006,5375
Central Darfur,50,SD06,12.402911,23.364413,Kubum,SD03157,11.776744,23.939006,1275
Central Darfur,4525,SD06,12.402911,23.364413,Saraf Omra,SD02133,13.587977,23.435877,14060
Khartoum,850,SD01,15.851318,32.843002,Saraf Omra,SD02133,13.587977,23.435877,14060
North Darfur,900,SD02,16.217571,25.556517,Saraf Omra,SD02133,13.587977,23.435877,14060
South Darfur,4285,SD03,11.00282,24.420469,Saraf Omra,SD02133,13.587977,23.435877,14060
West Darfur,6785,SD04,13.519303,22.616657,Saraf Omra,SD02133,13.587977,23.435877,17345
West Darfur,10920,SD04,13.519303,22.616657,Kereneik,SD04125,13.330925,22.821153,10920
Central Darfur,11980,SD06,12.402911,23.364413,Shamal Jabal Marrah,SD06132,13.292689,24.471027,86245
North Darfur,70785,SD02,16.217571,25.556517,Shamal Jabal Marrah,SD06132,13.292689,24.471027,80075
Khartoum,1000,SD01,15.851318,32.843002,Shamal Jabal Marrah,SD06132,13.292689,24.471027,10900
South Darfur,2480,SD03,11.00282,24.420469,Shamal Jabal Marrah,SD06132,13.292689,24.471027,10900
North Darfur,6255,SD02,16.217571,25.556517,Shia'ria,SD05148,12.532951,25.693837,154655
South Darfur,109930,SD03,11.00282,24.420469,Shia'ria,SD05148,12.532951,25.693837,176975
East Darfur,2745,SD05,11.017195,26.409638,Shia'ria,SD05148,12.532951,25.693837,113645
Khartoum,59555,SD01,15.851318,32.843002,Shia'ria,SD05148,12.532951,25.693837,113645
Aj Jazirah,14133,SD15,14.589485,33.27362,Medani Al Kubra,SD15030,14.335648,33.607358,22130
Khartoum,8022,SD01,15.851318,32.843002,Medani Al Kubra,SD15030,14.335648,33.607358,17355
West Darfur,26225,SD04,13.519303,22.616657,Sirba,SD04134,13.815601,22.44664,26225
North Darfur,92270,SD02,16.217571,25.556517,Tawila,SD02170,13.351266,24.856704,92270
South Darfur,250,SD03,11.00282,24.420469,Tawila,SD02170,13.351266,24.856704,250
Central Darfur,45,SD06,12.402911,23.364413,Um Baru,SD02120,15.346977,24.163569,1105
Khartoum,65,SD01,15.851318,32.843002,Um Baru,SD02120,15.346977,24.163569,1105
North Darfur,810,SD02,16.217571,25.556517,Um Baru,SD02120,15.346977,24.163569,1105
South Darfur,130,SD03,11.00282,24.420469,Um Baru,SD02120,15.346977,24.163569,1105
West Darfur,55,SD04,13.519303,22.616657,Um Baru,SD02120,15.346977,24.163569,890
Central Darfur,36375,SD06,12.402911,23.364413,Um Dukhun,SD06135,11.374759,23.094016,39550
South Darfur,3575,SD03,11.00282,24.420469,Um Dukhun,SD06135,11.374759,23.094016,38950
West Darfur,1750,SD04,13.519303,22.616657,Um Dukhun,SD06135,11.374759,23.094016,36800
North Darfur,36420,SD02,16.217571,25.556517,Um Kadadah,SD02136,13.487833,26.880716,36420
Central Darfur,16430,SD06,12.402911,23.364413,Wadi Salih,SD06137,12.414903,23.31342,18030
West Darfur,1200,SD04,13.519303,22.616657,Wadi Salih,SD06137,12.414903,23.31342,9000
South Darfur,400,SD03,11.00282,24.420469,Wadi Salih,SD06137,12.414903,23.31342,4000
Central Darfur,70235,SD06,12.402911,23.364413,Wasat Jabal Marrah,SD06139,13.138674,24.276752,80585
Khartoum,1500,SD01,15.851318,32.843002,Wasat Jabal Marrah,SD06139,13.138674,24.276752,77350
North Darfur,2350,SD02,16.217571,25.556517,Wasat Jabal Marrah,SD06139,13.138674,24.276752,77350
South Darfur,5000,SD03,11.00282,24.420469,Wasat Jabal Marrah,SD06139,13.138674,24.276752,77350
West Darfur,1500,SD04,13.519303,22.616657,Wasat Jabal Marrah,SD06139,13.138674,24.276752,77350
East Darfur,225,SD05,11.017195,26.409638,Yassin,SD05165,11.845257,25.577187,73660
Khartoum,63085,SD01,15.851318,32.843002,Yassin,SD05165,11.845257,25.577187,73660
South Darfur,13175,SD03,11.00282,24.420469,Yassin,SD05165,11.845257,25.577187,76685
North Darfur,200,SD02,16.217571,25.556517,Yassin,SD05165,11.845257,25.577187,600
Central Darfur,98330,SD06,12.402911,23.364413,Zalingi,SD06138,13.046634,23.537915,102830
West Darfur,4500,SD04,13.519303,22.616657,Zalingi,SD06138,13.046634,23.537915,61050
Aj Jazirah,27273,SD15,14.589485,33.27362,Um Algura,SD15032,14.49061,33.907755,35131
Khartoum,7858,SD01,15.851318,32.843002,Um Algura,SD15032,14.49061,33.907755,35131
Aj Jazirah,5934,SD15,14.589485,33.27362,Al Kamlin,SD15035,15.128601,32.940258,10574
Aj Jazirah,11562,SD15,14.589485,33.27362,Al Hasahisa,SD15034,14.78013,32.925545,31841
Khartoum,14215,SD01,15.851318,32.843002,Sharg Al Jazirah,SD15033,15.016972,33.602456,26328
Aj Jazirah,12113,SD15,14.589485,33.27362,Sharg Al Jazirah,SD15033,15.016972,33.602456,17773
White Nile,1232,SD09,13.359391,32.316944,Al Qurashi,SD15037,14.305408,32.63886,2080
Khartoum,1060,SD01,15.851318,32.843002,Al Kurmuk,SD08106,10.526217,34.112256,1060
Khartoum,30490,SD01,15.851318,32.843002,Ar Rusayris,SD08107,12.164843,34.581526,32440
Aj Jazirah,3785,SD15,14.589485,33.27362,Ar Rusayris,SD08107,12.164843,34.581526,24205
South Kordofan,645,SD07,11.293547,30.847982,Ar Rusayris,SD08107,12.164843,34.581526,880
Sennar,30,SD14,12.907198,34.042836,Ar Rusayris,SD08107,12.164843,34.581526,1360
South Darfur,25,SD03,11.00282,24.420469,Ar Rusayris,SD08107,12.164843,34.581526,1360
Aj Jazirah,380,SD15,14.589485,33.27362,At Tadamon - BN,SD08108,11.663392,33.640707,1650
Khartoum,1700,SD01,15.851318,32.843002,At Tadamon - BN,SD08108,11.663392,33.640707,2530
Sennar,450,SD14,12.907198,34.042836,At Tadamon - BN,SD08108,11.663392,33.640707,565
Khartoum,6535,SD01,15.851318,32.843002,Baw,SD08104,11.133073,33.800953,8155
Aj Jazirah,1620,SD15,14.589485,33.27362,Baw,SD08104,11.133073,33.800953,4245
Aj Jazirah,5104,SD15,14.589485,33.27362,Ed Damazine,SD08105,12.079783,34.23656,33496
Khartoum,78137,SD01,15.851318,32.843002,Ed Damazine,SD08105,12.079783,34.23656,80285
North Kordofan,35,SD13,14.847728,29.761701,Ed Damazine,SD08105,12.079783,34.23656,1955
South Darfur,115,SD03,11.00282,24.420469,Ed Damazine,SD08105,12.079783,34.23656,2385
North Darfur,5,SD02,16.217571,25.556517,Ed Damazine,SD08105,12.079783,34.23656,430
Sennar,80,SD14,12.907198,34.042836,Ed Damazine,SD08105,12.079783,34.23656,430
Khartoum,1973,SD01,15.851318,32.843002,Geisan,SD08109,11.175661,34.666003,2795
Aj Jazirah,822,SD15,14.589485,33.27362,Geisan,SD08109,11.175661,34.666003,2135
Khartoum,1285,SD01,15.851318,32.843002,Wad Al Mahi,SD08110,11.607414,34.782122,1285
Aj Jazirah,265,SD15,14.589485,33.27362,Al Butanah,SD12073,15.028183,34.598493,1920
Khartoum,3530,SD01,15.851318,32.843002,Al Butanah,SD12073,15.028183,34.598493,3795
Khartoum,24976,SD01,15.851318,32.843002,Al Fao,SD12074,14.042375,34.190523,36317
Aj Jazirah,14221,SD15,14.589485,33.27362,Al Fao,SD12074,14.042375,34.190523,27380
Aj Jazirah,9301,SD15,14.589485,33.27362,Al Fashaga,SD12075,14.250381,35.980078,22796
Khartoum,13233,SD01,15.851318,32.843002,Al Fashaga,SD12075,14.250381,35.980078,20106
North Darfur,262,SD02,16.217571,25.556517,Al Fashaga,SD12075,14.250381,35.980078,3536
Khartoum,11640,SD01,15.851318,32.843002,Al Galabat Al Gharbyah - Kassab,SD12078,13.535521,35.36822,15610
North Darfur,690,SD02,16.217571,25.556517,Al Galabat Al Gharbyah - Kassab,SD12078,13.535521,35.36822,4095
Aj Jazirah,4340,SD15,14.589485,33.27362,Al Galabat Al Gharbyah - Kassab,SD12078,13.535521,35.36822,13370
South Darfur,240,SD03,11.00282,24.420469,Al Galabat Al Gharbyah - Kassab,SD12078,13.535521,35.36822,2445
North Kordofan,350,SD13,14.847728,29.761701,Al Galabat Al Gharbyah - Kassab,SD12078,13.535521,35.36822,975
Aj Jazirah,5070,SD15,14.589485,33.27362,Al Mafaza,SD12082,13.641604,34.491596,14430
Khartoum,19095,SD01,15.851318,32.843002,Al Mafaza,SD12082,13.641604,34.491596,23665
Aj Jazirah,5333,SD15,14.589485,33.27362,Al Qureisha,SD12076,13.727283,36.072089,24575
Khartoum,19070,SD01,15.851318,32.843002,Al Qureisha,SD12076,13.727283,36.072089,24365
North Darfur,172,SD02,16.217571,25.556517,Al Qureisha,SD12076,13.727283,36.072089,8050
Khartoum,39280,SD01,15.851318,32.843002,AR Rahad,SD12084,13.233515,34.808656,45555
Aj Jazirah,6275,SD15,14.589485,33.27362,AR Rahad,SD12084,13.233515,34.808656,17525
Aj Jazirah,5737,SD15,14.589485,33.27362,Basundah,SD12077,12.933774,35.838709,16220
Khartoum,15980,SD01,15.851318,32.843002,Basundah,SD12077,12.933774,35.838709,22205
North Darfur,433,SD02,16.217571,25.556517,Basundah,SD12077,12.933774,35.838709,11955
Khartoum,12202,SD01,15.851318,32.843002,Gala'a Al Nahal,SD12079,13.335568,35.103673,12202
Khartoum,44925,SD01,15.851318,32.843002,Galabat Ash-Shargiah,SD12083,13.378072,35.801919,50470
Aj Jazirah,7645,SD15,14.589485,33.27362,Galabat Ash-Shargiah,SD12083,13.378072,35.801919,24880
Khartoum,111564,SD01,15.851318,32.843002,Madeinat Al Gedaref,SD12080,14.031355,35.377522,124474
Aj Jazirah,17195,SD15,14.589485,33.27362,Madeinat Al Gedaref,SD12080,14.031355,35.377522,53695
Aj Jazirah,3503,SD15,14.589485,33.27362,Wasat Al Gedaref,SD12081,14.15704,34.981265,14245
Khartoum,19295,SD01,15.851318,32.843002,Wasat Al Gedaref,SD12081,14.15704,34.981265,22638
South Darfur,55,SD03,11.00282,24.420469,Basundah,SD12077,12.933774,35.838709,1965
Aj Jazirah,36310,SD15,14.589485,33.27362,Madeinat Kassala,SD11053,15.441068,36.379277,104240
Khartoum,79112,SD01,15.851318,32.843002,Madeinat Kassala,SD11053,15.441068,36.379277,103922
Khartoum,47170,SD01,15.851318,32.843002,Halfa Aj Jadeedah,SD11052,15.462172,35.614284,50325
Aj Jazirah,3155,SD15,14.589485,33.27362,Halfa Aj Jadeedah,SD11052,15.462172,35.614284,19325
Khartoum,8209,SD01,15.851318,32.843002,Reifi Khashm Elgirba,SD11060,15.744422,34.99398,8209
Aj Jazirah,550,SD15,14.589485,33.27362,Reifi Shamal Ad Delta,SD11057,16.528271,35.985057,2800
Khartoum,3415,SD01,15.851318,32.843002,Reifi Shamal Ad Delta,SD11057,16.528271,35.985057,3965
Khartoum,3567,SD01,15.851318,32.843002,Reifi Nahr Atbara,SD11062,15.68227,35.415331,3717
Khartoum,2620,SD01,15.851318,32.843002,Reifi Kassla,SD11056,15.251261,36.372341,2695
Aj Jazirah,880,SD15,14.589485,33.27362,Reifi Telkok,SD11059,16.182537,36.613579,2230
Khartoum,1430,SD01,15.851318,32.843002,Reifi Telkok,SD11059,16.182537,36.613579,2310
Aj Jazirah,520,SD15,14.589485,33.27362,Reifi Aroma,SD11055,15.814433,35.895545,1375
Khartoum,1045,SD01,15.851318,32.843002,Reifi Aroma,SD11055,15.814433,35.895545,1565
Aj Jazirah,350,SD15,14.589485,33.27362,Reifi Hamashkureib,SD11058,16.833135,36.570315,565
Khartoum,215,SD01,15.851318,32.843002,Reifi Hamashkureib,SD11058,16.833135,36.570315,565
Aj Jazirah,150,SD15,14.589485,33.27362,Reifi Nahr Atbara,SD11062,15.68227,35.415331,350
Aj Jazirah,1145,SD15,14.589485,33.27362,Reifi Kassla,SD11056,15.251261,36.372341,1220
Aj Jazirah,20,SD15,14.589485,33.27362,Reifi Gharb Kassala,SD11054,15.312026,36.092712,20
Khartoum,10940,SD01,15.851318,32.843002,Bahri,SD01003,15.998119,32.801408,10940
Khartoum,13114,SD01,15.851318,32.843002,Karrari,SD01005,16.087487,32.352515,13129
Khartoum,2772,SD01,15.851318,32.843002,Jebel Awlia,SD01001,15.361011,32.583531,2802
Khartoum,8230,SD01,15.851318,32.843002,Sharg An Neel,SD01004,15.725083,33.380571,8305
Khartoum,7171,SD01,15.851318,32.843002,Um Durman,SD01006,15.447412,32.350618,7171
Khartoum,973,SD01,15.851318,32.843002,Khartoum,SD01007,15.552506,32.561114,973
Khartoum,6660,SD01,15.851318,32.843002,Um Bada,SD01002,16.127237,32.071757,6685
Aj Jazirah,15,SD15,14.589485,33.27362,Karrari,SD01005,16.087487,32.352515,134
Aj Jazirah,75,SD15,14.589485,33.27362,Sharg An Neel,SD01004,15.725083,33.380571,435
Aj Jazirah,30,SD15,14.589485,33.27362,Jebel Awlia,SD01001,15.361011,32.583531,120
Aj Jazirah,25,SD15,14.589485,33.27362,Um Bada,SD01002,16.127237,32.071757,125
Aj Jazirah,361,SD15,14.589485,33.27362,Ad Dabbah,SD17019,17.231144,30.689276,53061
Khartoum,64174,SD01,15.851318,32.843002,Ad Dabbah,SD17019,17.231144,30.689276,64560
Aj Jazirah,2437,SD15,14.589485,33.27362,Al Burgaig,SD17016,19.592873,30.655079,46635
Khartoum,50836,SD01,15.851318,32.843002,Al Burgaig,SD17016,19.592873,30.655079,53273
Khartoum,57926,SD01,15.851318,32.843002,Al Golid,SD17018,17.854741,28.928065,59724
Aj Jazirah,1720,SD15,14.589485,33.27362,Al Golid,SD17018,17.854741,28.928065,46719
Sennar,78,SD14,12.907198,34.042836,Al Golid,SD17018,17.854741,28.928065,2050
Khartoum,45635,SD01,15.851318,32.843002,Delgo,SD17015,20.130977,29.061767,47055
Aj Jazirah,1420,SD15,14.589485,33.27362,Delgo,SD17015,20.130977,29.061767,21410
Khartoum,55312,SD01,15.851318,32.843002,Dongola,SD17017,19.233941,29.637782,55312
Khartoum,37911,SD01,15.851318,32.843002,Halfa,SD17014,21.2419,28.700439,38157
Aj Jazirah,246,SD15,14.589485,33.27362,Halfa,SD17014,21.2419,28.700439,14393
Aj Jazirah,1749,SD15,14.589485,33.27362,Merwoe,SD17020,18.33174,31.968329,72213
Khartoum,82190,SD01,15.851318,32.843002,Merwoe,SD17020,18.33174,31.968329,84139
Sennar,200,SD14,12.907198,34.042836,Merwoe,SD17020,18.33174,31.968329,1375
Sennar,25,SD14,12.907198,34.042836,Ad Dabbah,SD17019,17.231144,30.689276,1060
Khartoum,2875,SD01,15.851318,32.843002,Haya,SD10070,18.094982,36.242429,2875
Khartoum,300,SD01,15.851318,32.843002,Jubayt Elma'aadin,SD10067,21.133124,34.946642,345
Khartoum,151129,SD01,15.851318,32.843002,Port Sudan,SD10064,19.508626,37.209322,232147
Aj Jazirah,61627,SD15,14.589485,33.27362,Port Sudan,SD10064,19.508626,37.209322,225132
North Darfur,5041,SD02,16.217571,25.556517,Port Sudan,SD10064,19.508626,37.209322,128599
North Kordofan,5143,SD13,14.847728,29.761701,Port Sudan,SD10064,19.508626,37.209322,133928
South Darfur,3068,SD03,11.00282,24.420469,Port Sudan,SD10064,19.508626,37.209322,125907
South Kordofan,3115,SD07,11.293547,30.847982,Port Sudan,SD10064,19.508626,37.209322,120969
White Nile,865,SD09,13.359391,32.316944,Port Sudan,SD10064,19.508626,37.209322,90180
Sennar,2162,SD14,12.907198,34.042836,Port Sudan,SD10064,19.508626,37.209322,143213
West Darfur,187,SD04,13.519303,22.616657,Port Sudan,SD10064,19.508626,37.209322,53420
Aj Jazirah,730,SD15,14.589485,33.27362,Sawakin,SD10068,19.004451,37.240975,4825
Khartoum,4280,SD01,15.851318,32.843002,Sawakin,SD10068,19.004451,37.240975,5147
North Kordofan,70,SD13,14.847728,29.761701,Sawakin,SD10068,19.004451,37.240975,2285
South Darfur,10,SD03,11.00282,24.420469,Sawakin,SD10068,19.004451,37.240975,1495
West Darfur,5,SD04,13.519303,22.616657,Sawakin,SD10068,19.004451,37.240975,660
Sennar,37,SD14,12.907198,34.042836,Sawakin,SD10068,19.004451,37.240975,2365
South Kordofan,15,SD07,11.293547,30.847982,Sawakin,SD10068,19.004451,37.240975,835
Aj Jazirah,105,SD15,14.589485,33.27362,Hala'ib,SD10066,21.765717,35.906454,600
Khartoum,465,SD01,15.851318,32.843002,Hala'ib,SD10066,21.765717,35.906454,600
North Darfur,10,SD02,16.217571,25.556517,Hala'ib,SD10066,21.765717,35.906454,115
North Kordofan,15,SD13,14.847728,29.761701,Hala'ib,SD10066,21.765717,35.906454,115
South Darfur,5,SD03,11.00282,24.420469,Hala'ib,SD10066,21.765717,35.906454,115
Aj Jazirah,10,SD15,14.589485,33.27362,Jubayt Elma'aadin,SD10067,21.133124,34.946642,160
North Darfur,15,SD02,16.217571,25.556517,Jubayt Elma'aadin,SD10067,21.133124,34.946642,160
North Kordofan,10,SD13,14.847728,29.761701,Jubayt Elma'aadin,SD10067,21.133124,34.946642,210
South Kordofan,10,SD07,11.293547,30.847982,Jubayt Elma'aadin,SD10067,21.133124,34.946642,50
Central Darfur,75,SD06,12.402911,23.364413,Sinkat,SD10071,18.889487,36.661004,450
Khartoum,4333,SD01,15.851318,32.843002,Sinkat,SD10071,18.889487,36.661004,5996
North Kordofan,125,SD13,14.847728,29.761701,Sinkat,SD10071,18.889487,36.661004,3110
South Darfur,197,SD03,11.00282,24.420469,Sinkat,SD10071,18.889487,36.661004,3795
South Kordofan,163,SD07,11.293547,30.847982,Sinkat,SD10071,18.889487,36.661004,3240
West Darfur,185,SD04,13.519303,22.616657,Sinkat,SD10071,18.889487,36.661004,945
Aj Jazirah,888,SD15,14.589485,33.27362,Sinkat,SD10071,18.889487,36.661004,4902
North Darfur,20,SD02,16.217571,25.556517,Sinkat,SD10071,18.889487,36.661004,1735
Sennar,10,SD14,12.907198,34.042836,Sinkat,SD10071,18.889487,36.661004,1200
Aj Jazirah,150,SD15,14.589485,33.27362,Dordieb,SD10063,17.535641,35.883005,975
Khartoum,845,SD01,15.851318,32.843002,Dordieb,SD10063,17.535641,35.883005,1005
South Darfur,10,SD03,11.00282,24.420469,Dordieb,SD10063,17.535641,35.883005,390
Aj Jazirah,20,SD15,14.589485,33.27362,Tawkar,SD10065,17.997189,37.394726,620
Khartoum,600,SD01,15.851318,32.843002,Tawkar,SD10065,17.997189,37.394726,620
Central Darfur,114,SD06,12.402911,23.364413,Port Sudan,SD10064,19.508626,37.209322,373
Aj Jazirah,57,SD15,14.589485,33.27362,Al Ganab,SD10069,19.550798,35.147386,225
Khartoum,75,SD01,15.851318,32.843002,Al Ganab,SD10069,19.550798,35.147386,225
North Darfur,15,SD02,16.217571,25.556517,Al Ganab,SD10069,19.550798,35.147386,175
North Kordofan,25,SD13,14.847728,29.761701,Al Ganab,SD10069,19.550798,35.147386,175
Sennar,13,SD14,12.907198,34.042836,Al Ganab,SD10069,19.550798,35.147386,175
South Darfur,40,SD03,11.00282,24.420469,Al Ganab,SD10069,19.550798,35.147386,175
Khartoum,66952,SD01,15.851318,32.843002,Abu Hamad,SD16008,20.16364,33.218942,67059
North Darfur,107,SD02,16.217571,25.556517,Abu Hamad,SD16008,20.16364,33.218942,530
Khartoum,173063,SD01,15.851318,32.843002,Ad Damar,SD16011,17.121049,34.259104,177661
Aj Jazirah,4583,SD15,14.589485,33.27362,Ad Damar,SD16011,17.121049,34.259104,45390
Sennar,15,SD14,12.907198,34.042836,Ad Damar,SD16011,17.121049,34.259104,840
Khartoum,49580,SD01,15.851318,32.843002,Al Buhaira,SD16014,19.910568,32.606046,51530
Aj Jazirah,1950,SD15,14.589485,33.27362,Al Buhaira,SD16014,19.910568,32.606046,10250
Khartoum,95950,SD01,15.851318,32.843002,Al Matama,SD16009,16.726159,32.7084,96650
Aj Jazirah,900,SD15,14.589485,33.27362,Al Matama,SD16009,16.726159,32.7084,14420
Khartoum,158806,SD01,15.851318,32.843002,Atbara,SD16012,17.853429,32.913587,164605
Aj Jazirah,5799,SD15,14.589485,33.27362,Atbara,SD16012,17.853429,32.913587,119365
Aj Jazirah,1007,SD15,14.589485,33.27362,Barbar,SD16013,18.148134,33.734758,4145
Khartoum,12675,SD01,15.851318,32.843002,Barbar,SD16013,18.148134,33.734758,13682
Khartoum,144161,SD01,15.851318,32.843002,Shendi,SD16010,16.430402,33.692223,146236
Aj Jazirah,1935,SD15,14.589485,33.27362,Shendi,SD16010,16.430402,33.692223,8250
North Darfur,50,SD02,16.217571,25.556517,Shendi,SD16010,16.430402,33.692223,2945
Central Darfur,65,SD06,12.402911,23.364413,Shendi,SD16010,16.430402,33.692223,1795
North Kordofan,25,SD13,14.847728,29.761701,Shendi,SD16010,16.430402,33.692223,1045
Aj Jazirah,13497,SD15,14.589485,33.27362,Ad Dali,SD14039,12.526733,33.438086,50277
Khartoum,34940,SD01,15.851318,32.843002,Ad Dali,SD14039,12.526733,33.438086,48060
Sennar,1840,SD14,12.907198,34.042836,Ad Dali,SD14039,12.526733,33.438086,41855
Aj Jazirah,14731,SD15,14.589485,33.27362,Sinja,SD14043,13.137546,33.740814,55567
Khartoum,41926,SD01,15.851318,32.843002,Sinja,SD14043,13.137546,33.740814,56365
Aj Jazirah,5102,SD15,14.589485,33.27362,Abu Hujar,SD14037,12.612193,33.89529,48537
Khartoum,41150,SD01,15.851318,32.843002,Abu Hujar,SD14037,12.612193,33.89529,48227
Sennar,2285,SD14,12.907198,34.042836,Abu Hujar,SD14037,12.612193,33.89529,48200
Aj Jazirah,32336,SD15,14.589485,33.27362,Sennar,SD14038,13.539079,33.24522,118271
Aj Jazirah,10028,SD15,14.589485,33.27362,Ad Dinder,SD14040,12.735365,34.803236,61084
Khartoum,49952,SD01,15.851318,32.843002,Ad Dinder,SD14040,12.735365,34.803236,61218
Sennar,1956,SD14,12.907198,34.042836,Ad Dinder,SD14040,12.735365,34.803236,37170
Sennar,770,SD14,12.907198,34.042836,Sinja,SD14043,13.137546,33.740814,16760
Aj Jazirah,13590,SD15,14.589485,33.27362,As Suki,SD14041,12.91538,34.141804,69485
Khartoum,52600,SD01,15.851318,32.843002,As Suki,SD14041,12.91538,34.141804,69485
Sennar,3295,SD14,12.907198,34.042836,As Suki,SD14041,12.91538,34.141804,69485
Khartoum,84762,SD01,15.851318,32.843002,Sennar,SD14038,13.539079,33.24522,116132
Sennar,1173,SD14,12.907198,34.042836,Sennar,SD14038,13.539079,33.24522,22272
Aj Jazirah,10903,SD15,14.589485,33.27362,Sharg Sennar,SD14042,13.761927,33.846929,60254
